genes,transfer_auc,within_auc
"TNC,RFC3,ATP1A2",0.5615384615384615,0.5
"CPLX1,ARMCX5,BTBD2",0.7923076923076924,0.7384615384615385
"RBM6,EGR3,KCNK4",0.3076923076923077,0.5076923076923077
"MELTF,FXYD6,ZNF204P",0.9538461538461538,0.9230769230769231
"MEIS3,CDC42BPA,DHCR7",0.8692307692307693,0.8538461538461538
"PCDHA9,RNASET2,ADD2",0.8692307692307691,0.8384615384615385
"NUAK1,SERPINE1,CFAP52",0.3,0.6076923076923078
"CMSS1,FBLN5,TMEM64",0.7692307692307693,0.7692307692307693
"TNS3,DRAM1,TMEM30A",0.5692307692307692,0.6384615384615385
"CAV1,KNDC1,CSPG5",0.7923076923076923,0.8076923076923077
"RHOU,ITGB3BP,NCAN",0.5,0.7153846153846154
"NPIPB3,MCEE,PECAM1",0.7692307692307693,0.6076923076923076
"HSD17B3,CHD7,CYTH1",0.6538461538461539,0.8153846153846155
"ITGB2,REPS2,MAFF",0.9076923076923077,0.9
"RIMBP2,JPT1,BCAS4",0.8846153846153846,0.9
"ADGRB3,DYDC2,SLC8A1",0.7307692307692307,0.6230769230769231
"SELENOT,SERPINI2,CHRM1",0.8692307692307693,0.7384615384615385
"COBL,PMAIP1,RYR3",0.5461538461538461,0.5
"SH3GL2,SGK1,CEMIP",0.876923076923077,0.8307692307692307
"NPY5R,RGS16,CPLX1",0.7846153846153847,0.8307692307692307
"CLMP,STAT3,UCHL5",0.4,0.4076923076923077
"POU3F2,LARP6,BVES",0.7,0.7692307692307693
"SOSTDC1,LAMP5,ZFP36L2",0.8615384615384616,0.8
"LOC105372733,FNDC9,NAMPT",0.7846153846153847,0.8461538461538463
"ATP6V1B2,SLC4A3,ATP6V1H",0.9230769230769231,0.8615384615384616
"LRRTM2,CBX5,GNB4",0.7538461538461538,0.8769230769230769
"PDLIM1,MCL1,RELA",0.8153846153846154,0.6461538461538462
"CLK1,TGFBR1,ABHD12",0.9076923076923076,0.8846153846153846
"TEX29,FAH,RGS20",0.5,0.7153846153846154
"SEMA4D,ARHGAP32,HLA-C",0.6230769230769231,0.46153846153846156
"STYK1,HSPA8,CRYAB",0.4769230769230769,0.27307692307692305
"BTBD10,WWTR1,IL1R2",0.8769230769230769,0.8615384615384615
"GAL,GSPT2,QPCT",0.6307692307692307,0.4230769230769231
"CYP2J2,ZFHX4,H2BC12L",0.5461538461538461,0.4153846153846154
"EGR1,SREBF1,DEAF1",0.8538461538461538,0.8307692307692307
"PSMD8,SYTL2,RFFL",0.8769230769230769,0.7923076923076924
"SGMS1,CHAC1,SNHG9",0.16153846153846155,0.7923076923076923
"TOGARAM2,LOXL2,BMPR1A",0.676923076923077,0.5923076923076923
"LINC01877,JAKMIP3,STEAP4",0.5,0.7384615384615385
"PRAM1,C15orf40,RCAN2",0.4846153846153846,0.6923076923076923
"DOCK10,ATG4C,BTNL9",0.8192307692307692,0.8846153846153846
"LPCAT4,SOX9,NOG",0.3769230769230769,0.6230769230769231
"OMD,CACNA1B,NIBAN1",0.5692307692307692,0.4153846153846154
"P3H2,LIMK1,BAG2",0.26153846153846155,0.6461538461538462
"RUNX1T1,CDH1,SLC22A15",0.46923076923076923,0.7846153846153846
"PNISR-AS1,ABCA2,PLCXD3",0.6346153846153846,0.6153846153846154
"BBS5,PHLDB2,PTPN5",0.32307692307692304,0.5076923076923077
"RFPL2,ADGRV1,TBC1D19",0.36153846153846153,0.8615384615384616
"TDRD9,TSIX,CCEPR",0.5538461538461539,0.6
"PARVG,ANKRD26P3,TFRC",0.6461538461538461,0.8
"BCL2,CHORDC1,HIGD1B",0.7615384615384615,0.676923076923077
"GALNT3,NPHP3,PRKCI",0.7538461538461538,0.9846153846153847
"RAP1GDS1,HRH1,MIR7-3HG",0.8307692307692308,0.7999999999999999
"NRXN1,DHCR7,KCNE4",0.27692307692307694,0.8769230769230769
"SLC16A10,JAKMIP1,RAB3C",0.8307692307692307,1.0
"ELF1,ELAVL2,HLA-DMA",0.7769230769230769,0.8769230769230769
"PKP2,GREM1,LINC00537",0.5,0.676923076923077
"RORA,SPAG6,ATP8A2",0.8923076923076922,0.8692307692307693
"CKS2,UPP2,RAB38",0.3730769230769231,0.4923076923076923
"TCF7L1,ARRB1,KIF13B",0.7076923076923077,0.15384615384615385
"NCF4,NRN1,HSPBAP1",0.9230769230769231,0.8615384615384616
"PPM1B,FAM216A,RNF41",0.7846153846153846,0.8076923076923077
"HBG2,AGAP1,PPP3R1",0.6692307692307693,0.15384615384615383
"SUSD1,CLN5,COL6A3",0.5076923076923077,0.5
"MIR124-2HG,SRGN,EFEMP1",0.20769230769230768,0.8615384615384616
"PKNOX2,RAMP1,STK39",0.43076923076923074,0.2769230769230769
"DCLK1,EAF1,STARD9",0.8461538461538461,0.8307692307692307
